% Model,infinitegrating_4.59um-DRS_Ti-Ag_EE_1storder_mod_addthickcap.mph,,,,,,,,,,,,,
% Version,COMSOL 5.1.0.234,,,,,,,,,,,,,
% Date,"Jun 25 2024, 10:37",,,,,,,,,,,,,
% Table,Accumulated Probe Table 1 - ,,,,,,,,,,,,,
% Cladding1,Grating_Layer,DutyCycle,Refinement level,Eigenfrequency,"Frequency, Global Var freq","emw.damp/emw.freq/(Period[um]), Global Var Loss","-emw.Poavy/emw.freq/(Period[um])/2 (N/cm), Boundary Probe 1","Energy density time average (J/m), Domain Probe 1","(freq*2*pi/c_const-2*pi/wavelength[um])*wavelength/Period/2, delta kappa","c_const/emw.freq, Global Var wavelength","bnd1/dom1, Global Variable Surface Loss","abs(emw.Ey)^2 (kg^2*m^4/(s^6*A^2)), Domain Probe Core Ey2","emw.normE^2 (kg^2*m^4/(s^6*A^2)), Domain Probe All E2","dom2/dom3, Global Var Gamma"
0.2,0.12,0.7,0,6.702917776299515E13+3.231473594055333E11i,6.70E+13,418.0343718,-1.31E-06,2.00E-07,1138.3617757691447+214.50522281492493i,4.472566545,-6.525215292,626.7255183,4330.199363,0.144733641
0.2,0.01,0.5,0,6.360898269331957E13+3.14706680661139E11i,6.36E+13,429.0054258,-2.13E-15,1.51E-07,-1131.963771191541+208.90230011703792i,4.713052234,-1.42E-08,1135.968981,3210.703518,0.353806876
0.2,0.01,0.5,0,6.552387004583242E13+5.019720784501177E10i,6.55E+13,66.42862957,-2.70E-11,1.65E-07,139.1384868367452+33.3209074438656i,4.575316717,-1.64E-04,2265.453508,3539.927521,0.639971721
0.2,0.01,0.5,0,6.652708841409467E13+7.552355208655939E10i,6.65E+13,98.43717999,-3.46E-08,1.59E-07,805.0748572034934+50.132535193554205i,4.506321637,-0.217655602,1170.850985,3543.160777,0.330453812
0.2,0.01,0.5,0,6.70885997410434E13+1.4247290962746832E10i,6.71E+13,18.41445368,6.05E-07,8.84E-08,1177.806085834968+9.45735198980167i,4.468605086,6.844573838,20.34816469,2084.647504,0.009760962
0.2,0.01,0.2,0,6.370831095211998E13+3.288617026361764E11i,6.37E+13,447.6024782,-3.25E-15,1.45E-07,-1066.0296712657455+218.29840395118723i,4.705704068,-2.24E-08,1129.500437,3093.185934,0.365157627
0.2,0.01,0.2,0,6.553229808712924E13+4.633818900373582E10i,6.55E+13,61.31389857,-2.69E-11,1.56E-07,144.7330207967102+30.75929066965557i,4.57472829,-1.72E-04,2155.087785,3361.450915,0.641118327
0.2,0.01,0.2,0,6.654716053793145E13+8.273381750046916E10i,6.65E+13,107.8024937,-3.92E-08,1.52E-07,818.3987333567667+54.9187095011849i,4.504962429,-0.258091935,1086.082086,3393.850627,0.320014699
0.2,0.01,0.2,0,6.708945557900296E13+1.385474600015428E10i,6.71E+13,17.90686556,6.34E-07,8.45E-08,1178.3741910874671+9.196780636779653i,4.468548081,7.503207165,19.38972031,1994.439129,0.009721891
0.2,0.01,0.7,0,6.358955706416367E13+3.091405546053896E11i,6.36E+13,421.5464675,-1.97E-15,1.56E-07,-1144.858504164358+205.20750554405765i,4.714491999,-1.26E-08,1165.238928,3317.958906,0.351191489
0.2,0.01,0.7,0,6.5510518881375484E13+5.408848180091659E10i,6.55E+13,71.5927467,-2.54E-11,1.69E-07,130.2759836371472+35.903935163729386i,4.576249175,-1.51E-04,2310.748394,3620.311211,0.638273413
0.2,0.01,0.7,0,6.6521809571963016E13+7.387992318452661E10i,6.65E+13,96.30252031,-3.43E-08,1.65E-07,801.5707617043395+49.04149429969026i,4.506679237,-0.208040923,1223.403695,3674.526975,0.332941819
0.2,0.01,0.7,0,6.7087246746460266E13+1.4712026397904016E10i,6.71E+13,19.01550218,5.45E-07,9.25E-08,1176.9079680070645+9.765843379772397i,4.468695207,5.888942547,21.4506659,2180.458918,0.009837684
0.2,0.15,0.5,0,6.413196803837097E13+4.402754622037606E11i,6.41E+13,595.2853392,-3.86E-14,2.09E-07,-784.8060900161031+292.25485949721985i,4.674618091,-1.85E-07,1701.209516,4490.018867,0.378886942
0.2,0.15,0.5,0,6.5461099525080586E13+1.8199365057492993E11i,6.55E+13,241.0728007,-3.06E-11,2.03E-07,97.47141406582277+120.8073884288979i,4.57970398,-1.51E-04,2681.386301,4331.651136,0.619021758
0.2,0.15,0.5,0,6.658545596318194E13+1.5126895521323734E11i,6.66E+13,196.9906902,-7.46E-08,2.00E-07,843.8192373066039+100.41233511141222i,4.502371481,-0.372270378,1317.894667,4469.485547,0.294864958
0.2,0.15,0.5,0,6.708601283886501E13+2.992808247050409E10i,6.71E+13,38.68318133,-1.60E-07,1.07E-07,1176.0889001237904+19.866261666407425i,4.4687774,-1.498925218,37.82565215,2512.699339,0.015053792
0.2,0.15,0.2,0,6.530161670753364E13+4.3060433524151227E11i,6.53E+13,571.7810225,-1.37E-11,1.86E-07,-8.393283006098155+285.8351652508401i,4.590888758,-7.38E-05,2301.107698,4030.829101,0.570877018
0.2,0.15,0.2,0,6.553699110147618E13+6.354433517740915E10i,6.55E+13,84.07475578,-3.71E-11,1.95E-07,147.84824380214252+42.18073080012618i,4.5744007,-1.90E-04,2696.916185,4197.468623,0.642510148
0.2,0.15,0.2,0,6.7090005069878875E13+1.4945622054735268E10i,6.71E+13,19.31663366,7.74E-07,1.05E-07,1178.738943140491+9.920904180855112i,4.468511482,7.374457015,24.50115008,2475.694108,0.009896679
0.2,0.15,0.2,0,6.70981645700391E13+3.987356959282915E10i,6.71E+13,51.52876678,-7.60E-08,8.70E-08,1184.1552194892988+26.46807619183589i,4.467968087,-0.874022661,47.33211864,2050.92629,0.02307841
0.2,0.15,0.7,0,6.3652364878683914E13+2.5987911418100296E11i,6.37E+13,354.0235125,-1.84E-15,2.19E-07,-1103.1666757893167+172.5077605303397i,4.70984006,-8.41E-09,1505.591058,4626.19155,0.325449355
0.2,0.15,0.7,0,6.521059002915003E13+3.8874113308085767E11i,6.52E+13,516.9132196,-8.15E-12,2.10E-07,-68.81679370629236+258.0463709257465i,4.597297124,-3.88E-05,2394.197123,4436.712124,0.539633191
0.2,0.15,0.7,0,6.648319596451301E13+8.678954016086008E10i,6.65E+13,113.1959194,-3.06E-08,1.98E-07,775.939048404906+57.61089827395752i,4.509296728,-0.154480558,1514.101058,4397.276729,0.34432699
0.2,0.15,0.7,0,6.689587562262624E13+3.442965049895052E11i,6.69E+13,446.2811504,-5.81E-07,2.19E-07,1049.875812665066+228.5440260227889i,4.481478943,-2.651041057,831.4358075,4732.609699,0.175682311
2.4,0.12,0.5,0,6.506316740306536E13+5.54553352094021E11i,6.51E+13,739.0663099,-2.63E-13,2.18E-07,-166.6759354750103+368.112524801447i,4.607713857,-1.21E-06,148.8585251,4711.046694,0.03159776
